RAW > 3.187949895217 0 1 -1 -1 -1
RAW > 3.188141895217 2 2 -1 -1 0
RAW > 3.2 0 0 58 58 -1
RAW > 3.2 1 0 82 82 -1
RAW > 3.2 2 0 62 62 -1
RAW > 3.2 3 0 7 7 -1
RAW > 3.2 4 0 76 76 -1
RAW > 3.2 5 0 37 37 -1
RAW > 3.2 6 0 11 11 -1
RAW > 3.2 7 0 93 93 -1
RAW > 3.2 8 0 94 94 -1
RAW > 3.2 9 0 48 48 -1
RAW > 3.231949895217 0 1 -1 -1 -1
RAW > 3.232141895217 2 2 -1 -1 0
RAW > 3.235949895217 0 1 -1 -1 -1
RAW > 3.236141895217 2 2 -1 -1 0
RAW > 3.279949895217 0 1 -1 -1 -1
RAW > 3.280141895217 2 2 -1 -1 0
RAW > 3.283949895217 0 1 -1 -1 -1
RAW > 3.284141895217 2 2 -1 -1 0
RAW > 3.3 0 0 58 58 -1
RAW > 3.3 1 0 82 82 -1
RAW > 3.3 2 0 62 62 -1
RAW > 3.3 3 0 7 7 -1
RAW > 3.3 4 0 76 76 -1
RAW > 3.3 5 0 37 37 -1
RAW > 3.3 6 0 11 11 -1
RAW > 3.3 7 0 93 93 -1
RAW > 3.3 8 0 94 94 -1
RAW > 3.3 9 0 48 48 -1
RAW > 3.327949895217 0 1 -1 -1 -1
RAW > 3.328141895217 2 2 -1 -1 0
RAW > 3.331949895217 0 1 -1 -1 -1
RAW > 3.332141895217 2 2 -1 -1 0
RAW > 3.375949895217 0 1 -1 -1 -1
RAW > 3.376141895217 2 2 -1 -1 0
RAW > 3.379949895217 0 1 -1 -1 -1
RAW > 3.380141895217 2 2 -1 -1 0
RAW > 3.4 0 0 58 58 -1
RAW > 3.4 1 0 82 82 -1
RAW > 3.4 2 0 62 62 -1
RAW > 3.4 3 0 7 7 -1
RAW > 3.4 4 0 76 76 -1
RAW > 3.4 5 0 37 37 -1
RAW > 3.4 6 0 11 11 -1
RAW > 3.4 7 0 93 93 -1
RAW > 3.4 8 0 94 94 -1
RAW > 3.4 9 0 48 48 -1
RAW > 3.423949895217 0 1 -1 -1 -1
RAW > 3.424141895217 2 2 -1 -1 0
RAW > 3.427949895217 0 1 -1 -1 -1
RAW > 3.428141895217 2 2 -1 -1 0
RAW > 3.471949895217 0 1 -1 -1 -1
RAW > 3.472141895217 2 2 -1 -1 0
RAW > 3.475949895217 0 1 -1 -1 -1
RAW > 3.476141895217 2 2 -1 -1 0
RAW > 3.5 0 0 58 58 -1
RAW > 3.5 1 0 82 82 -1
RAW > 3.5 2 0 62 62 -1
RAW > 3.5 3 0 7 7 -1
RAW > 3.5 4 0 76 76 -1
RAW > 3.5 5 0 37 37 -1
RAW > 3.5 6 0 11 11 -1
RAW > 3.5 7 0 93 93 -1
RAW > 3.5 8 0 94 94 -1
RAW > 3.5 9 0 48 48 -1
RAW > 3.519949895217 0 1 -1 -1 -1
RAW > 3.520141895217 2 2 -1 -1 0
RAW > 3.523949895217 0 1 -1 -1 -1
RAW > 3.567949895217 0 1 -1 -1 -1
RAW > 3.568141895217 2 2 -1 -1 0
RAW > 3.571949895217 0 1 -1 -1 -1
RAW > 3.572141895217 2 2 -1 -1 0
RAW > 3.6 0 0 58 58 -1
RAW > 3.6 1 0 82 82 -1
RAW > 3.6 2 0 62 62 -1
RAW > 3.6 3 0 7 7 -1
RAW > 3.6 4 0 76 76 -1
RAW > 3.6 5 0 37 37 -1
RAW > 3.6 6 0 11 11 -1
RAW > 3.6 7 0 93 93 -1
RAW > 3.6 8 0 94 94 -1
RAW > 3.6 9 0 48 48 -1
RAW > 3.615949895217 0 1 -1 -1 -1
RAW > 3.616141895217 2 2 -1 -1 0
RAW > 3.619949895217 0 1 -1 -1 -1
RAW > 3.620141895217 2 2 -1 -1 0
RAW > 3.663949895217 0 1 -1 -1 -1
RAW > 3.667949895217 0 1 -1 -1 -1
RAW > 3.7 0 0 58 58 -1
RAW > 3.7 1 0 82 82 -1
RAW > 3.7 2 0 62 62 -1
RAW > 3.7 3 0 7 7 -1
RAW > 3.7 4 0 76 76 -1
RAW > 3.7 5 0 37 37 -1
RAW > 3.7 6 0 11 11 -1
RAW > 3.7 7 0 93 93 -1
RAW > 3.7 8 0 94 94 -1
RAW > 3.7 9 0 48 48 -1
RAW > 3.711949895217 0 1 -1 -1 -1
RAW > 3.712141895217 2 2 -1 -1 0
RAW > 3.715949895217 0 1 -1 -1 -1
RAW > 3.716141895217 2 2 -1 -1 0
RAW > 3.759949895217 0 1 -1 -1 -1
RAW > 3.760141895217 2 2 -1 -1 0
RAW > 3.763949895217 0 1 -1 -1 -1
RAW > 3.764141895217 2 2 -1 -1 0
RAW > 3.8 0 0 58 58 -1
RAW > 3.8 1 0 82 82 -1
RAW > 3.8 2 0 62 62 -1
RAW > 3.8 3 0 7 7 -1
RAW > 3.8 4 0 76 76 -1
RAW > 3.8 5 0 37 37 -1
RAW > 3.8 6 0 11 11 -1
RAW > 3.8 7 0 93 93 -1
RAW > 3.8 8 0 94 94 -1
RAW > 3.8 9 0 48 48 -1
RAW > 3.807949895217 0 1 -1 -1 -1
RAW > 3.808141895217 2 2 -1 -1 0
RAW > 3.811949895217 0 1 -1 -1 -1
RAW > 3.855949895217 0 1 -1 -1 -1
RAW > 3.859949895217 0 1 -1 -1 -1
RAW > 3.860141895217 2 2 -1 -1 0
RAW > 3.9 0 0 58 58 -1
RAW > 3.9 1 0 81 81 -1
RAW > 3.9 2 0 62 62 -1
RAW > 3.9 3 0 7 7 -1
RAW > 3.9 4 0 76 76 -1
RAW > 3.9 5 0 37 37 -1
RAW > 3.9 6 0 11 11 -1
RAW > 3.9 7 0 93 93 -1
RAW > 3.9 8 0 93 93 -1
